card_select.avail_basic	此角色可使用基本角色卡來創造
pli_auctionview.18	剩餘時間 : {0}秒
pli_auctionview.19	{0} Gold競標嗎?
pli_auctionview.20	請輸入正確的金額.
pli_auctionview.21	銀行存款不足.
pli_auctionview.22	必須比現在競標價更高的價格競標.
pli_autoproductionview.1	並非合適的材料道具.
pli_autoproductionview.2	進行中的製作完成後將結束.
pli_autoproductionview.3	可自動製作數量: {0} 個
pli_autoproductionview.4	成功率: {0} %
pli_autoproductionview.5	可自動製作數量: {0} 個
pli_autoproductionview.6	需清空臨時物品欄
pli_bagtagview.1	標籤設定
pli_bagtagview.2	設定標籤時, 會優先把這道具放進背包裡.
pli_bagtagview.3	確認
pli_bagtagview.4	取消
pli_balloonpopminigameresultview.1	보유 기록 시간 : {0}
pli_balloonpopminigameresultview.2	{0}\n{1}개*10초\n{2}등
pli_balloonpopminigameview.1	풍선 터트리기 미니게임을 종료 하시겠습니까?\n지금 종료하면, 미니게임 기록은 저장되지 않습니다.
pli_banquetchangetabletalkthemeview.1	餐點主題變更
pli_banquetchangetabletalkthemeview.2	現在主題 : {0}\
pli_banquetchangetabletalkthemeview.3	目前沒有餐點的主題.
pli_banquetchangetabletalkthemeview.4	\n\n請輸入理想的主題.
pli_banquetchangetabletalkthemeview.5	建議者 : {0}
pli_banquetchangetabletalkthemeview.6	變更
pli_banquetchangetabletalkthemeview.7	關閉
pli_banquetchangetabletalkthemeview.8	刪除
pli_banquetchangetabletalkthemeview.9	確認
pli_banquetchangetabletalkthemeview.10	取消
pli_banquetchangetabletalkthemeview.11	請輸入 20字內的主題名稱.
pli_banquetchangetabletalkthemeview.12	王城宴會
pli_banquetchangetabletalkthemeview.13	要刪除主題嗎?
pli_banquetfoodlistview.1	料理目錄
pli_banquetfoodlistview.2	關閉
pli_banquetfoodlistview.3	目前還無法享用料理.
pli_banquetfoodlistview.4	{0:n分 m秒後}才可以享用.
pli_banquetfoodlistview.5	提供者 : {0}
pli_banquetfoodlistview.6	評語 :
pli_banquetfoodlistview.7	吃
pli_banquetfoodlistview.8	現在無法食用.\n等一下也會輪到你喔.
pli_banquetfoodlistview.9	(剩下{0}個)
pli_banquetfoodlistview.10	料理還剩下{0}個左右.
pli_banquetfoodlistview.11	(無)
pli_banquetfoodlistview.12	沒有料理了.
pli_banquetfoodlistview.13	(無限)
pli_banquetfoodlistview.14	這份料理是無限供應喔.
pli_banquetofferfoodview.1	捐贈料理
pli_banquetofferfoodview.2	提供者 : {0}
pli_banquetofferfoodview.3	評語 :
pli_banquetofferfoodview.4	請輸入評語.
pli_banquetofferfoodview.5	贈送
pli_banquetofferfoodview.6	取消
pli_bardboarditemview.1	此為為了撰寫該曲目所需的作曲技能的等級.
pli_bardboarditemview.2	真的確定要刪除嗎?
pli_bardboarditemview.3	真的確定要刪除嗎?\n屬於同一合奏曲中的其他演奏樂器的樂譜內容也會一併被刪除.
pli_bardboarditemview.4	確定要推薦該內容嗎?\n一天可進行一次推薦\n無法取消推薦.
pli_bardboarditemview.5	等級 {0}
pli_bardboarditemview.6	練習
pli_bardboarditemview.7	樂譜標題 : {0}
pli_bardboarditemview.8	合奏
pli_bardboarditemview.9	獨奏
pli_bardboarditemview.10	請選擇欲寫入樂譜的卷軸
pli_bardboarditemview.11	背包中沒有可使用的樂譜.\n真的確定要使用免費樂譜嗎?
pli_bardboarditemview.12	內容已透過剪貼簿被複製.
pli_bardboardmusicitemframe.1	抄寫樂譜
pli_bardboardmusicitemframe.2	真的確定要推薦該內容嗎?\n一天可推薦一次\n無法取消推薦.
pli_bardboardmusicitemframe.3	練習
pli_bardboardmusicitemframe.4	請選擇欲寫入樂譜的卷軸
pli_bardboardmusicitemframe.5	背包中沒有可使用的樂譜.\n真的確定要使用免費樂譜嗎?
pli_bardboardtab.1	樂器演奏
pli_bardboardtab.2	人員
pli_bardboardtab.3	{0}名
pli_bardboardtab.4	請輸入欲搜尋的內容.
pli_bardboardtab.5	尋找不到結果.
pli_bardboardwriteview.1	沒有樂譜
pli_bardboardwriteview.2	請登錄樂譜卷軸.
pli_bardboardwriteview.3	目前被登錄的樂譜數 : {0}
pli_bardboardwriteview.4	標題若為空白文字時無法使用.
pli_bardboardwriteview.5	標題必須為4字以上.
pli_bardboardwriteview.6	標題中有不當的用詞. 請重新輸入.
pli_bardboardwriteview.7	請輸入作曲者評論.
pli_bardboardwriteview.8	作曲者評論中有不當的用詞. 請重新輸入.
pli_battledanceframe.1	真的確定要套用{0} 效果嗎?
pli_battledancemanageview.1	可選擇要跳哪種舞蹈.\n目前被設定的主題 : {0}
pli_battledancemanageview.2	可選擇要顯示哪種效果.\n目前被設定的舞蹈 : {0}
pli_battledancemanageview.3	獲得技能
pli_battledancemanageview.4	升級
pli_beadrewardview.1	獲得獎勵道具喵!恭喜你喵!
pli_beadrewardview.2	獲得獎勵經驗值喵!恭喜你喵!
pli_beadrewardview.3	獲得獎勵金幣喵!恭喜你喵!
pli_beadrewardview.4	獲得獎勵道具了! 恭喜!
pli_beadrewardview.5	獲得獎勵經驗值了! 恭喜!
pli_beadrewardview.6	獲得獎勵金幣了! 恭喜!
pli_beadview.1	金球
pli_beadview.2	銀球
pli_beadview.3	銅球
pli_beadview.4	恭喜你喵!
pli_beadview.5	抵達目標地點喵!
pli_beadview.6	抵達活動了喵!\n要用金球進行升級呢?
pli_beadview.7	有懲罰了喵.\n要用金球進行防禦嗎喵?
pli_beadview.8	抵達活動了喵!\n要用什麼球進行升級呢?
pli_beadview.9	必須要把球交給我歐喵!\n要給我什麼球呢喵?
pli_beadview.10	球球不夠喵!\n要儲存球球才行歐喵!
pli_beadview.11	送禮物
pli_beadview.12	還需要球球喵.
pli_beadview.13	成功進行防禦了喵!
pli_beautyshopappearanceview.1	{0}(皮膚)
pli_beautyshopappearanceview.2	{0}(頭)
pli_beautyshopappearanceview.3	{0}(眼睛)
pli_beautyshopappearanceview.4	{0}著裝時無法選擇皮膚顏色.
pli_beautyshopentryview.1	{0}個
pli_beautyshopentryview.2	美容室進入
pli_beautyshopentryview.3	請問要移動到美容室嗎?
pli_beautyshopentryview.4	確認
pli_beautyshopentryview.5	取消
pli_beautyshopentryview.6	無法進入到此地方的樣子.
pli_beautyshopentryview.7	變身期間無法使用造型沙龍.
pli_beautyshopentryview.8	招喚寵物或夥伴期間無法使用.
pli_beautyshopentryview.9	目前無法使用.
pli_beautyshopexitview.1	美容室退出
pli_beautyshopexitview.2	要離開美容室嗎?\n離開後掉落在地上的道具會消失.
pli_beautyshopexitview.3	確認
pli_beautyshopexitview.4	取消
pli_beautyshopmotionview.1	{0}個
pli_beautyshopmotionview.2	{0}個
pli_beautyshopmotionview.3	{0}個
pli_beautyshopmotionview.4	{0}美容幣中將使用 {1}美容幣.\n 請問要使用嗎?
pli_beautyshopmotionview.5	變更外觀
pli_beautyshopmotionview.6	確認
pli_beautyshopmotionview.7	取消
pli_beautyshopmotionview.8	{0}個
pli_beautyshopmotionview.9	美容幣不足.\n請儲值美容幣.
pli_beautyshopmotionview.10	購物欄空了.
pli_bingo2019view.1	{0}線
pli_bingo2019view.2	賓果硬幣5個消耗.
pli_bingo2019view.3	賓果硬幣不足.
pli_bingo2019view.4	沒有入團考驗 : 賓果版.
pli_bingo2019view.5	已達成所有賓果.
pli_bingo2019view.6	賓果獎勵獲得失敗.
pli_bingo2019view.7	發生了未知的錯誤.
pli_bingo2019view.8	賓果完成獎勵獲得失敗.
pli_bingo2019view.9	臨時物品欄中有道具時無法使用.\n請幫忙清空臨時物品欄.
pli_bingo2019view.10	賓果硬幣不足.
pli_bingo2019view.11	臨時物品欄中有道具時無法使用.\n請幫忙清空臨時物品欄.
pli_bingo2019view.12	不是活動期間.
pli_bingo2019view.13	已達成所有賓果.
pli_bingogachaponview.1	按左鍵的話可使用道具.
pli_bingogachaponview.2	重新排列尚未取得的賓果數字.
pli_bingogachaponview.3	會移動到商城.\n你要移動嗎?
pli_bingogachaponview.4	重新排列尚未取得的賓果數字.\n可重置的次數會變0,會移動到可儲值的頁面.\n你要重置嗎?
pli_bingogachaponview.5	美容專用硬幣不足.\n你要移動到商城嗎?
pli_bingogachaponview.6	活動結束而無法按紐.
pli_bingogachaponview.7	活動結束而無法按紐.
pli_bingogachaponview.8	恭喜你.已完成賓果.\n\n按關閉鍵的話賓果盤會變重置喔.
pli_bingogachaponview.9	請整理美容專用硬幣補償物品欄後再試試看.
pli_bingogachaponview.10	無法使用重置按鍵.
pli_bingogachaponview.11	{0}{이} 사용할 수 없는 인벤토리에 있습니다.
pli_bingogachaponview.12	剩下一個數字時無法使用復原鍵.
pli_bingogacharesetpurchaseview.1	<color=4>{0}</color>美容專用硬幣
pli_bingogacharesetpurchaseview.2	{0}美容專用硬幣
pli_bingogacharesetpurchaseview.3	{0}美容專用硬幣
pli_bingogacharesetpurchaseview.4	美容專用硬幣不足.\n你要到購買美容專用硬幣的頁面嗎?
pli_bingogacharesetpurchaseview.5	{0}美容專用硬幣中使用{1}美容專用硬幣.\n你要購買嗎?
pli_bingogacharesetpurchaseview.6	重置儲值
pli_bingogacharesetpurchaseview.7	確認
pli_bingogacharesetpurchaseview.8	取消
pli_bondingcharacterinviteview.1	{0}님의 승인을 기다리고 있습니다.
pli_bondingcharacterinviteview.2	{0}님이 링크를 원합니다.
pli_bondingcharacterinviteview.3	{0}님의 승인을 기다리고 있습니다.
pli_bondingcharacterinviteview.4	{0}님과 링크를 하시겠습니까.
pli_boommessageview.1	\t{0}秒
pli_brionacskilltrainview.1	布里歐納克技能修練
pli_brionacskilltrainview.2	修練
pli_brionacskilltrainview.3	在選擇的項目增加修練值.
pli_brionacskilltrainview.4	修練技能就會使布里歐納克的耐久度削減 1點.\n要修練嗎?
pli_brionacskilltrainview.5	請選擇要增加修練值的項目.
pli_brionacskilltrainview.6	修練技能就會使布里歐納克的耐久度{0}點削減.\n要修練嗎?
pli_brionacswordrepairview.1	Restore Brionac\n布里歐納克再生
pli_brionacswordrepairview.2	使用AP可以使布里歐納克再生.
pli_brionacswordrepairview.3	再生
pli_brionacswordrepairview.4	把{0}點數再生
pli_brionacswordrepairview.5	耐久度最大
pli_brionacswordrepairview.6	必須 AP : {0}
pli_brionacswordrepairview.7	必須 AP : <color=2>{0}</color>
pli_brionacswordrepairview.8	剩下 AP : {0}
pli_brionacswordrepairview.9	Restore Brionac\n布里歐納克再生
pli_brionacswordrepairview.10	使用AP可以使布里歐納克重生.\n使用的AP是無法要回請慎重做決定.
pli_brionacswordrepairview.11	耐久度 : {0} -> <color=2>{1}</color>
pli_brionacswordrepairview.12	AP : {0} -> <color=2>{1}</color>
pli_brionacswordrepairview.13	確認
pli_brionacswordrepairview.14	取消
pli_brionacswordview.1	光之矛\n\n在布里歐納克發動的狀態\n可以增加光之矛的威力
pli_brionacswordview.2	技能修練\n\n以角色累積的經驗值為基準\n使用布里歐納克可以修練技能\n該當項目的 30% 以上要親自修煉\n修練值未滿10個的項目是無法修煉
pli_brionacswordview.3	再生\n\n消耗AP可以布里歐納克再生\n每1點耐久度需要4 AP 再生
pli_brionacswordview.4	法利亞斯魔法門\n\n通往法利亞斯的魔法門可以使用
pli_brionacswordview.5	現在無法使用.
pli_brionacswordview.6	為了要開啟通往法利亞斯的門\n需要法利亞斯的碎片.
pli_brionacswordview.7	開啟通往法利亞斯的門.\n消耗法利亞斯的碎片 1個.
pli_brionacswordview.8	往法利亞斯的門
pli_captchapenaltyview.1	處罰剩下時間
pli_captchapenaltyview.2	剩下時間 :
pli_captchapenaltyview.3	{0} 分鐘
pli_captchapenaltyview.4	{0} 分鐘
pli_captchaview.1	測驗炸彈\nQuiz Time Bomb
pli_captchaview.2	剩下時間
pli_captchaview.3	請輸入如上圖案的數值(5個)
pli_captchaview.4	確認
pli_captchaview.5	道具使用者 : {0}
pli_captchaview.6	貿易外掛檢驗
pli_captchaview.7	請於輸入上面圖素上所顯示的數字
pli_captchaview.8	重新整理(%d)
pli_captionmgr.1	約 {0}秒之後在畫面上方會出現送出的內容.
pli_captionmgr.2	約 {0}分鐘之後在畫面上方會出現送出的內容.
pli_captionmgr.3	在畫面上方會出現送出的內容.
pli_captionmgrrender.1	隱藏所有視窗狀態(解除 {0})
pli_captionmgrrender.2	隱藏隊伍視窗狀態(解除 {0})
pli_captionmgrrender.3	隱藏名字狀態(解除 {0})
pli_cashitemshopview.1	告知
pli_cashitemshopview.2	상품 목록을 읽어오고 있습니다.\n잠시 기다려주세요.
pli_cashitemshopview.3	取消
pli_castleallowinfoinputview.0	請輸入准許進入的使用者名稱.\n請注意不要輸入錯名稱.
pli_castleallowinfoinputview.1	請輸入准許進入的公會名稱.\n請注意不要輸入錯名稱.
pli_castleallowinfoinputview.2	請輸入拒絕進入的使用者名稱.\n請注意不要輸入錯名稱.
pli_castleallowinfoinputview.3	請輸入拒絕進入的公會名稱.\n請注意不要輸入錯名稱.
pli_castleallowinfoinputview.4	Add User\n使用者增加
pli_castleallowinfoinputview.5	Add Guild\n公會增加
pli_castleallowinfoinputview.6	Ok\n確定
pli_castleallowinfoinputview.7	取消
pli_castleallowinfoinputview.8	形式錯誤的名稱.
pli_castleallowinfoinputview.9	已經登錄的名稱.
pli_castleallowinfoview.0	設定進出使用者
pli_castleallowinfoview.1	准許的使用者
pli_castleallowinfoview.2	封鎖的使用者
pli_castleallowinfoview.3	說明
pli_castleallowinfoview.4	設定進出公會
pli_castleallowinfoview.5	准許的公會
pli_castleallowinfoview.6	封鎖的公會
pli_castleallowinfoview.7	說明
pli_castleallowinfoview.8	設定基本進出
pli_castleallowinfoview.9	使用者的名稱沒有在准許/封鎖的使用者或是公會名單當中的人\n都設定為准許進入城內.
pli_castleallowinfoview.10	全部准許
pli_castleallowinfoview.11	全部拒絕
pli_castleallowinfoview.12	關閉
pli_castleallowinfoview.13	不能再增加了.
pli_castleallowinfoview.14	設定進出使用者
pli_castleallowinfoview.15	這是設定准許進出城堡的使用者,或是設定禁止進出的使用者. 如果進出名稱的設定在'准許的使用者'裡面的話,即使名稱在'封鎖的使用者/公會'裡面,也可以准許進出城堡. 但是名稱在'封鎖的使用者'裡面的話,即使是屬於 '准許的公會'裡面,也無法進出.
pli_castleallowinfoview.16	設定進出公會
pli_castleallowinfoview.17	這是設定准許進出城堡的公會,或是禁止進出的公會. 進出是在'准許的公會'裡面的話,相同的公會即使被登錄到' 封鎖的公會'裡面,也是准許進出的.
pli_castleallowinfoview.18	進出者管理
pli_castleallowinfoview.19	進出者
pli_castlebidcancelview.0	取消城堡腹地投標
pli_castlebidcancelview.1	在[{0}]的 [{1}] 公會裡面的{2}個金幣已在投標當中.\n\n請問要取消以前投標的記錄嗎?
pli_castlebidview.0	Keep Site Bid\n城堡腹地投標
pli_castlebidview.1	{0}年 {1}月 {2}日{3}點 {4}分
pli_castlebidview.2	投標結果的發表日期
pli_castlebidview.3	取消投標費用
pli_castlebidview.4	<color=4><outlinecolor=3>{0} 金幣</outlinecolor></color>
pli_castlebidview.5	公會所保管的金幣
pli_castlebidview.6	<color=4><outlinecolor=3>{0} 金幣</outlinecolor></color>
pli_castlebidview.7	- 投標時所使用的金幣,在沒有得標的情況下可以退還.\n- 腹地投標只能使用公會所保有的金幣來進行.\n- 已經擁有其他城堡的公會不能投標.\n- 不可以重復投標.\n
pli_castlebidview.8	投標申請金額
pli_castlebidview.9	{0} 腹地使用{1}個金幣投標.\n請問要繼續嗎?
pli_castlebidview.10	投標
pli_castlebidview.11	取消
pli_castlebidview.12	投標金額超過0.
pli_castleconvertamountview.0	金幣移轉
pli_castleconvertamountview.1	從公會中將金幣轉移到城堡.
pli_castleconvertamountview.2	從城堡中將金幣轉移到公會.
pli_castleconvertamountview.3	金額
pli_castleconvertgoldview.0	金幣轉移
pli_castleconvertgoldview.1	可以將公會所保管的金幣轉移到城堡,或是城堡中所保管的金幣轉移到公會.
pli_castleconvertgoldview.2	公會
pli_castleconvertgoldview.3	城堡
pli_castleconvertgoldview.4	<symbol>\x1d<alphanumeric>
pli_castleconvertgoldview.5	將公會中的金幣轉移到城堡.
